sample_fp	plate	cycle	well	tile
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0029_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0029.nd2	1	1	A1	29
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0030_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0030.nd2	1	1	A1	30
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0031_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0031.nd2	1	1	A1	31
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0032_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0032.nd2	1	1	A1	32
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0033_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0033.nd2	1	1	A1	33
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0034_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0034.nd2	1	1	A1	34
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0035_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0035.nd2	1	1	A1	35
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0036_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0036.nd2	1	1	A1	36
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0037_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0037.nd2	1	1	A1	37
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0038_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0038.nd2	1	1	A1	38
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0039_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0039.nd2	1	1	A1	39
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0040_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0040.nd2	1	1	A1	40
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0041_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0041.nd2	1	1	A1	41
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0042_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0042.nd2	1	1	A1	42
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0043_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0043.nd2	1	1	A1	43
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0044_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0044.nd2	1	1	A1	44
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0045_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0045.nd2	1	1	A1	45
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0046_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0046.nd2	1	1	A1	46
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0047_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0047.nd2	1	1	A1	47
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0048_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0048.nd2	1	1	A1	48
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0049_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0049.nd2	1	1	A1	49
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0050_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0050.nd2	1	1	A1	50
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0051_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0051.nd2	1	1	A1	51
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0052_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0052.nd2	1	1	A1	52
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0053_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0053.nd2	1	1	A1	53
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0054_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0054.nd2	1	1	A1	54
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0055_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0055.nd2	1	1	A1	55
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0056_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0056.nd2	1	1	A1	56
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0057_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0057.nd2	1	1	A1	57
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0058_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0058.nd2	1	1	A1	58
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0059_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0059.nd2	1	1	A1	59
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0060_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0060.nd2	1	1	A1	60
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0061_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0061.nd2	1	1	A1	61
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0062_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0062.nd2	1	1	A1	62
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0063_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0063.nd2	1	1	A1	63
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0064_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0064.nd2	1	1	A1	64
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0065_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0065.nd2	1	1	A1	65
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0066_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0066.nd2	1	1	A1	66
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0067_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0067.nd2	1	1	A1	67
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0068_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0068.nd2	1	1	A1	68
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0069_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0069.nd2	1	1	A1	69
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0070_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0070.nd2	1	1	A1	70
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0071_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0071.nd2	1	1	A1	71
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0072_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0072.nd2	1	1	A1	72
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0073_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0073.nd2	1	1	A1	73
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0074_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0074.nd2	1	1	A1	74
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0075_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0075.nd2	1	1	A1	75
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0076_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0076.nd2	1	1	A1	76
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0077_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0077.nd2	1	1	A1	77
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0078_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0078.nd2	1	1	A1	78
/mnt/disks/pdac-main-1/projects/PDAC_OPS/nd2s/input_sbs/plate_1/c1/WellA1_PointA1_0079_ChannelDAPI_2x2,CY3,AF594,CY5,CY7_Seq0079.nd2	1	1	A1	79
