plate	round	well	tile
2	1	A1	0
2	2	A1	0
2	1	A1	1
2	2	A1	1
2	1	A1	2
2	2	A1	2
2	1	A1	3
2	2	A1	3
2	1	A1	4
2	2	A1	4
2	1	A1	5
2	2	A1	5
2	1	A1	6
2	2	A1	6
2	1	A1	7
2	2	A1	7
2	1	A1	8
2	2	A1	8
2	1	A1	9
2	2	A1	9
2	1	A1	10
2	2	A1	10
2	1	A1	11
2	2	A1	11
2	1	A1	12
2	2	A1	12
2	1	A1	13
2	2	A1	13
2	1	A1	14
2	2	A1	14
2	1	A1	15
2	2	A1	15
2	1	A1	16
2	2	A1	16
2	1	A1	17
2	2	A1	17
2	1	A1	18
2	2	A1	18
2	1	A1	19
2	2	A1	19
2	1	A1	20
2	2	A1	20
2	1	A1	21
2	2	A1	21
2	1	A1	22
2	2	A1	22
2	1	A1	23
2	2	A1	23
2	1	A1	24
2	2	A1	24
2	1	A1	25
2	2	A1	25
2	1	A1	26
2	2	A1	26
2	1	A1	27
2	2	A1	27
2	1	A1	28
2	2	A1	28
2	1	A1	29
2	2	A1	29
2	1	A1	30
2	2	A1	30
2	1	A1	31
2	2	A1	31
2	1	A1	32
2	2	A1	32
2	1	A1	33
2	2	A1	33
2	1	A1	34
2	2	A1	34
2	1	A1	35
2	2	A1	35
2	1	A1	36
2	2	A1	36
2	1	A1	37
2	2	A1	37
2	1	A1	38
2	2	A1	38
2	1	A1	39
2	2	A1	39
2	1	A1	40
2	2	A1	40
2	1	A1	41
2	2	A1	41
2	1	A1	42
2	2	A1	42
2	1	A1	43
2	2	A1	43
2	1	A1	44
2	2	A1	44
2	1	A1	45
2	2	A1	45
2	1	A1	46
2	2	A1	46
2	1	A1	47
2	2	A1	47
2	1	A1	48
2	2	A1	48
2	1	A1	49
2	2	A1	49
2	1	A1	50
2	2	A1	50
2	1	A1	51
2	2	A1	51
2	1	A1	52
2	2	A1	52
2	1	A1	53
2	2	A1	53
2	1	A1	54
2	2	A1	54
2	1	A1	55
2	2	A1	55
2	1	A1	56
2	2	A1	56
2	1	A1	57
2	2	A1	57
2	1	A1	58
2	2	A1	58
2	1	A1	59
2	2	A1	59
2	1	A1	60
2	2	A1	60
2	1	A1	61
2	2	A1	61
2	1	A1	62
2	2	A1	62
2	1	A1	63
2	2	A1	63
2	1	A1	64
2	2	A1	64
2	1	A1	65
2	2	A1	65
2	1	A1	66
2	2	A1	66
2	1	A1	67
2	2	A1	67
2	1	A1	68
2	2	A1	68
2	1	A1	69
2	2	A1	69
2	1	A1	70
2	2	A1	70
2	1	A1	71
2	2	A1	71
2	1	A1	72
2	2	A1	72
2	1	A1	73
2	2	A1	73
2	1	A1	74
2	2	A1	74
2	1	A1	75
2	2	A1	75
2	1	A1	76
2	2	A1	76
2	1	A1	77
2	2	A1	77
2	1	A1	78
2	2	A1	78
2	1	A1	79
2	2	A1	79
2	1	A1	80
2	2	A1	80
2	1	A1	81
2	2	A1	81
2	1	A1	82
2	2	A1	82
2	1	A1	83
2	2	A1	83
2	1	A1	84
2	2	A1	84
2	1	A1	85
2	2	A1	85
2	1	A1	86
2	2	A1	86
2	1	A1	87
2	2	A1	87
2	1	A1	88
2	2	A1	88
2	1	A1	89
2	2	A1	89
2	1	A1	90
2	2	A1	90
2	1	A1	91
2	2	A1	91
2	1	A1	92
2	2	A1	92
2	1	A1	93
2	2	A1	93
2	1	A1	94
2	2	A1	94
2	1	A1	95
2	2	A1	95
2	1	A1	96
2	2	A1	96
2	1	A1	97
2	2	A1	97
2	1	A1	98
2	2	A1	98
2	1	A1	99
2	2	A1	99
2	1	A1	100
2	2	A1	100
2	1	A1	101
2	2	A1	101
2	1	A1	102
2	2	A1	102
2	1	A1	103
2	2	A1	103
2	1	A1	104
2	2	A1	104
2	1	A1	105
2	2	A1	105
2	1	A1	106
2	2	A1	106
2	1	A1	107
2	2	A1	107
2	1	A1	108
2	2	A1	108
2	1	A1	109
2	2	A1	109
2	1	A1	110
2	2	A1	110
2	1	A1	111
2	2	A1	111
2	1	A1	112
2	2	A1	112
2	1	A1	113
2	2	A1	113
2	1	A1	114
2	2	A1	114
2	1	A1	115
2	2	A1	115
2	1	A1	116
2	2	A1	116
2	1	A1	117
2	2	A1	117
2	1	A1	118
2	2	A1	118
2	1	A1	119
2	2	A1	119
2	1	A1	120
2	2	A1	120
2	1	A1	121
2	2	A1	121
2	1	A1	122
2	2	A1	122
2	1	A1	123
2	2	A1	123
2	1	A1	124
2	2	A1	124
2	1	A1	125
2	2	A1	125
2	1	A1	126
2	2	A1	126
2	1	A1	127
2	2	A1	127
2	1	A1	128
2	2	A1	128
2	1	A1	129
2	2	A1	129
2	1	A1	130
2	2	A1	130
2	1	A1	131
2	2	A1	131
2	1	A1	132
2	2	A1	132
2	1	A1	133
2	2	A1	133
2	1	A1	134
2	2	A1	134
2	1	A1	135
2	2	A1	135
2	1	A1	136
2	2	A1	136
2	1	A1	137
2	2	A1	137
2	1	A1	138
2	2	A1	138
2	1	A1	139
2	2	A1	139
2	1	A1	140
2	2	A1	140
2	1	A1	141
2	2	A1	141
2	1	A1	142
